u, v, d, x, y, z 
447.0, 383.0, 0.3931875229, 0.6716578811, -0.070009141, 1.0934122454
456.0, 343.0, 0.3798950315, 0.668366174, -0.0715277736, 1.124724095
449.0, 320.0, 0.3786150217, 0.6687879304, -0.0700843452, 1.1404852779
448.0, 289.0, 0.3746925294, 0.6701627159, -0.0677401236, 1.1622882863
455.0, 262.0, 0.3722250164, 0.6695089492, -0.0702457346, 1.1804438808
454.0, 234.0, 0.3671450317, 0.6702359337, -0.0684432223, 1.2006811961
456.0, 203.0, 0.3637650311, 0.6684720577, -0.0705594906, 1.2227477277
453.0, 173.0, 0.361297518, 0.6707942582, -0.0681879288, 1.2410433273
459.0, 144.0, 0.3550750315, 0.6683122889, -0.0713648889, 1.2607190508
421.0, 383.0, 0.3944325149, 0.6729402398, -0.0492258656, 1.0924412923
423.0, 346.0, 0.3780750036, 0.6675197356, -0.049888798, 1.1243785927
421.0, 318.0, 0.3783000112, 0.6695735658, -0.0495108352, 1.1417132328
423.0, 291.0, 0.3741850257, 0.6689208781, -0.0500326211, 1.1605780935
422.0, 262.0, 0.3716000319, 0.6704951171, -0.0483771646, 1.1807858598
423.0, 234.0, 0.3666350245, 0.6698071565, -0.049098597, 1.2012827045
422.0, 205.0, 0.3640250266, 0.6699480934, -0.049017426, 1.2211515442
425.0, 175.0, 0.3594150245, 0.6693683972, -0.0512025971, 1.2401749962
422.0, 140.0, 0.3538750112, 0.668743716, -0.0490062995, 1.2625706824
393.0, 384.0, 0.3859075308, 0.6711282342, -0.0310161786, 1.0935778831
392.0, 344.0, 0.3772925138, 0.6678996917, -0.0299189064, 1.1253789421
389.0, 320.0, 0.3782925308, 0.6699646819, -0.0287760199, 1.1413809975
390.0, 293.0, 0.3732550144, 0.6693040275, -0.0297246517, 1.1609424673
392.0, 262.0, 0.3710625172, 0.6697321731, -0.0300444722, 1.1806131306
389.0, 236.0, 0.3662000299, 0.6695202235, -0.0290841555, 1.2002643973
390.0, 201.0, 0.3616825044, 0.6689231104, -0.0298652241, 1.2223561668
390.0, 175.0, 0.35849002, 0.6695734313, -0.0288096612, 1.2413926788
395.0, 146.0, 0.3563175201, 0.6698500293, -0.0299254562, 1.2604267484
364.0, 382.0, 0.3917975128, 0.6716552329, -0.0107726615, 1.0939030437
358.0, 347.0, 0.3773250282, 0.6682917649, -0.0082654388, 1.1246593666
359.0, 319.0, 0.3778550327, 0.6701036673, -0.0089185892, 1.1405504323
362.0, 292.0, 0.3742000163, 0.6700321558, -0.0103054609, 1.1611541959
359.0, 264.0, 0.370840013, 0.6699104679, -0.0089384102, 1.1807159464
362.0, 233.0, 0.364392519, 0.6689818577, -0.0107956494, 1.2020164662
358.0, 207.0, 0.3622100055, 0.6697341758, -0.0085506226, 1.2201956353
362.0, 177.0, 0.358717531, 0.6698312087, -0.0094515996, 1.2403112676
361.0, 145.0, 0.354562521, 0.6695068502, -0.0090165566, 1.2614834316
336.0, 385.0, 0.3892250061, 0.671529134, 0.0080092321, 1.0935455052
330.0, 350.0, 0.3759450316, 0.6672811338, 0.0109493063, 1.1240928076
331.0, 322.0, 0.3767375052, 0.6692987279, 0.0095078732, 1.1404396028
