u, v, d, x, y, z 
331.0, 290.0, 0.3713325262, 0.668840391, 0.0099840612, 1.1629800237
330.0, 264.0, 0.37105003, 0.6707447535, 0.0115777486, 1.1801714614
332.0, 236.0, 0.3636075258, 0.6682617572, 0.0097309651, 1.2029679469
330.0, 208.0, 0.363255024, 0.6698319678, 0.0102716338, 1.2197585209
332.0, 177.0, 0.357825011, 0.6687698761, 0.0102709961, 1.2415664523
330.0, 148.0, 0.3566750288, 0.6706752624, 0.0109923367, 1.2600468215
302.0, 382.0, 0.390260011, 0.672330049, 0.0291410334, 1.0947840135
303.0, 349.0, 0.3773275316, 0.6684269436, 0.0288737952, 1.1235285329
297.0, 321.0, 0.3751600087, 0.6697483129, 0.0319712713, 1.1409841922
298.0, 293.0, 0.3722575307, 0.6699340529, 0.0310080221, 1.1603390294
300.0, 263.0, 0.3672475219, 0.66916743, 0.0301710218, 1.1814691988
298.0, 239.0, 0.3662275076, 0.6701538724, 0.0315192009, 1.2003335783
299.0, 207.0, 0.3605925143, 0.6690521903, 0.0299647361, 1.2223306524
299.0, 179.0, 0.3564625084, 0.6690266583, 0.0301920963, 1.2419790371
297.0, 145.0, 0.3538775146, 0.6693241376, 0.0301395834, 1.2615990224
279.0, 384.0, 0.3891300261, 0.6709440607, 0.0494569786, 1.0937195407
271.0, 351.0, 0.374982506, 0.6677205749, 0.0497155229, 1.1246512656
269.0, 322.0, 0.3755250275, 0.6698218846, 0.0511099986, 1.1410349852
272.0, 294.0, 0.3714725077, 0.6691479928, 0.0497437641, 1.1604127605
272.0, 265.0, 0.3706275225, 0.6702246286, 0.0496343169, 1.1800363768
272.0, 236.0, 0.3619100153, 0.6683729824, 0.0495164619, 1.2019767857
267.0, 207.0, 0.3631075025, 0.6709012219, 0.0527789228, 1.2206835697
272.0, 181.0, 0.3572000265, 0.6688632314, 0.0486155909, 1.2395900231
264.0, 146.0, 0.3534325063, 0.6694393768, 0.0514891099, 1.2625467484
247.0, 387.0, 0.3874175251, 0.6715601094, 0.0688764291, 1.0935980729
239.0, 349.0, 0.3771075308, 0.6694231149, 0.0716053231, 1.1233097363
240.0, 322.0, 0.3761975169, 0.6700634983, 0.0704502117, 1.1411231943
239.0, 293.0, 0.3702000082, 0.6692968663, 0.0711148309, 1.1613630513
239.0, 267.0, 0.369990021, 0.670770898, 0.0712630942, 1.1800997643
241.0, 234.0, 0.3617350161, 0.667766624, 0.0693586909, 1.2029939676
235.0, 211.0, 0.3622575104, 0.6705056778, 0.0720474726, 1.2200370075
239.0, 181.0, 0.3552925289, 0.6681675434, 0.0693255878, 1.2419455073
231.0, 148.0, 0.3550225198, 0.6703192466, 0.0717761589, 1.2609925624
217.0, 385.0, 0.3877200186, 0.6722269607, 0.0892238698, 1.0944903916
210.0, 352.0, 0.3759750128, 0.6687908911, 0.0914143083, 1.1234768964
209.0, 325.0, 0.3755375147, 0.6699948537, 0.0914842282, 1.1402494508
210.0, 293.0, 0.3717650175, 0.6696919293, 0.0899144484, 1.1609472363
207.0, 268.0, 0.3667600155, 0.6691947229, 0.090434739, 1.180088741
207.0, 240.0, 0.3652650118, 0.6702836653, 0.0898511911, 1.2005294582
204.0, 210.0, 0.3591300249, 0.6683143457, 0.0903860412, 1.221225444
204.0, 180.0, 0.3584100306, 0.6703904833, 0.0904940213, 1.2399824962
203.0, 144.0, 0.3496725261, 0.667741867, 0.0888409423, 1.2619186868
