u, v, d, x, y, z 
471.0, 388.0, 0.3400550187, 0.6227445191, -0.070182903, 1.111952564
473.0, 342.0, 0.3256875277, 0.6177097634, -0.0698049967, 1.1447438277
471.0, 314.0, 0.3267400265, 0.6195904138, -0.0700676526, 1.1605849925
478.0, 281.0, 0.3204500079, 0.6191802024, -0.0691161828, 1.1817232931
472.0, 248.0, 0.320325017, 0.6211314237, -0.0687682342, 1.2008245856
483.0, 213.0, 0.3124000132, 0.6174806874, -0.0708062844, 1.2220869581
472.0, 179.0, 0.3133700192, 0.6218013059, -0.067102872, 1.2403664197
480.0, 140.0, 0.3046875, 0.6180258015, -0.0699945153, 1.2628457838
439.0, 385.0, 0.3392500281, 0.6220232207, -0.0513450359, 1.1138987733
435.0, 344.0, 0.3256200254, 0.6184604537, -0.0480376445, 1.1440799605
439.0, 316.0, 0.3268325031, 0.6198596308, -0.0498182325, 1.1598695271
439.0, 280.0, 0.3188025057, 0.6183537947, -0.0493435369, 1.1828853928
437.0, 248.0, 0.3201950192, 0.6214783346, -0.0483304997, 1.2010923411
442.0, 216.0, 0.3118675053, 0.6180594826, -0.0507159975, 1.2207456131
438.0, 181.0, 0.3117650151, 0.62106254, -0.0474918191, 1.2409209013
442.0, 144.0, 0.30400002, 0.6178070921, -0.0510640008, 1.2610403276
402.0, 382.0, 0.3390750289, 0.6231971486, -0.0301305403, 1.1143317777
403.0, 343.0, 0.3256375194, 0.6184172351, -0.0298059225, 1.1435900381
398.0, 314.0, 0.3262500167, 0.6205151951, -0.0280540392, 1.160247146
400.0, 282.0, 0.3202275038, 0.6195353636, -0.0294306249, 1.18089905
404.0, 249.0, 0.3170000017, 0.6195424172, -0.0295842152, 1.2010706165
401.0, 216.0, 0.3126400113, 0.6197197988, -0.0294233307, 1.2209641666
407.0, 183.0, 0.3102450073, 0.6197140842, -0.0299390084, 1.2413314333
403.0, 147.0, 0.3043575287, 0.6189937663, -0.028729006, 1.2613906983
372.0, 387.0, 0.3363925219, 0.6216115026, -0.0110269253, 1.1138571094
364.0, 344.0, 0.325025022, 0.6193178061, -0.0081639718, 1.1426976861
369.0, 317.0, 0.3253625035, 0.6207945134, -0.0094171695, 1.1592667561
367.0, 281.0, 0.3184275031, 0.6187489882, -0.0098130488, 1.1815793639
368.0, 250.0, 0.3178925216, 0.6198054504, -0.0100760006, 1.2006049448
365.0, 216.0, 0.3113950193, 0.6193267814, -0.0088937919, 1.2216511838
369.0, 185.0, 0.3094400167, 0.6199974904, -0.0095453211, 1.2406767946
367.0, 147.0, 0.3060975075, 0.6195514072, -0.0095847867, 1.2601303606
338.0, 386.0, 0.3353900015, 0.6211116934, 0.0110359118, 1.1150454302
334.0, 345.0, 0.3248175085, 0.6187738613, 0.0100317842, 1.1433149828
329.0, 315.0, 0.3248600066, 0.6205010541, 0.0121272894, 1.1597823482
333.0, 282.0, 0.3201375008, 0.6200250914, 0.0100320784, 1.1807982291
333.0, 250.0, 0.3150525093, 0.6189045936, 0.0100377534, 1.2004540995
331.0, 213.0, 0.3113000095, 0.6195339311, 0.0109975783, 1.2226066643
332.0, 184.0, 0.3083800077, 0.619082699, 0.0107364503, 1.2409752082
331.0, 147.0, 0.3045375049, 0.6194277496, 0.0102513209, 1.2604495243
299.0, 387.0, 0.33663252, 0.622042366, 0.0309476219, 1.1145738744
301.0, 345.0, 0.3237100244, 0.6182932107, 0.0297583409, 1.1434748504
296.0, 317.0, 0.3227525055, 0.6194882234, 0.0310520479, 1.1605060287
299.0, 281.0, 0.3170800209, 0.6186513408, 0.0303533695, 1.1820365798
298.0, 251.0, 0.3170350194, 0.6202172894, 0.0312523762, 1.2007567564
296.0, 216.0, 0.3114450276, 0.6189929478, 0.0304134352, 1.2220576038
299.0, 192.0, 0.3089000285, 0.6195676751, 0.0298395555, 1.2404108519
294.0, 147.0, 0.3032500148, 0.6188342505, 0.0307977301, 1.2622417412
272.0, 388.0, 0.3366825283, 0.6223698603, 0.0493232905, 1.1138735304
264.0, 346.0, 0.3239100277, 0.6184619464, 0.0513810933, 1.1430678135
264.0, 317.0, 0.3236150146, 0.6203207747, 0.0517545615, 1.1600817249
266.0, 283.0, 0.3179250062, 0.6193688948, 0.0500441899, 1.1815637142
262.0, 252.0, 0.3162925243, 0.6198412763, 0.0506724474, 1.2013280364
262.0, 218.0, 0.3106900156, 0.6186226421, 0.0496405534, 1.2215366489
262.0, 186.0, 0.3095950186, 0.6207683033, 0.0509147684, 1.2403329065
260.0, 146.0, 0.3020675182, 0.6186139566, 0.0504305307, 1.2618398569
236.0, 387.0, 0.337015003, 0.6229491073, 0.0697212835, 1.1143997213
231.0, 348.0, 0.3227525055, 0.6184882391, 0.0709273399, 1.1430020582
234.0, 321.0, 0.3240150213, 0.6208374674, 0.0707246316, 1.1593811842
229.0, 284.0, 0.3175400198, 0.6194972256, 0.0707866692, 1.1816339483
230.0, 254.0, 0.3160175085, 0.619974075, 0.0705193553, 1.2004364226
225.0, 220.0, 0.3101875186, 0.6195415676, 0.0719819487, 1.221231346
229.0, 188.0, 0.3083800077, 0.6203067293, 0.0689495225, 1.2407695052
223.0, 149.0, 0.3030100167, 0.6189133035, 0.0711513937, 1.2612290291
