u, v, d, x, y, z 
417.0, 368.0, 0.496625036, 0.7705948078, -0.0696936409, 1.0634155417
416.0, 334.0, 0.4871850312, 0.7704526478, -0.06750214, 1.0954311333
418.0, 316.0, 0.4869550169, 0.7717270335, -0.0673198881, 1.1102572532
420.0, 291.0, 0.4820300341, 0.7701764899, -0.0680068465, 1.1328175764
420.0, 272.0, 0.4771725237, 0.7698875951, -0.0694987257, 1.1504427253
422.0, 247.0, 0.4724700153, 0.7694841554, -0.0691058794, 1.1715230123
422.0, 223.0, 0.4694325328, 0.7691212328, -0.0697738262, 1.1922838388
421.0, 196.0, 0.4638200104, 0.768698715, -0.0688492214, 1.2140115807
421.0, 176.0, 0.4608925283, 0.7688663614, -0.0697138116, 1.2328268812
425.0, 151.0, 0.4587075114, 0.7686630828, -0.0705818758, 1.2525592282
421.0, 127.0, 0.4420100152, 0.7698491619, -0.0692110975, 1.2708626736
396.0, 370.0, 0.4984125197, 0.7714245882, -0.0512995644, 1.06155883
395.0, 335.0, 0.4847850204, 0.7696058935, -0.0483389434, 1.0961281363
393.0, 318.0, 0.4842075109, 0.7702873954, -0.0474211046, 1.1092576991
396.0, 295.0, 0.4802850187, 0.7693992607, -0.0498426009, 1.1290394106
394.0, 270.0, 0.4767200351, 0.7703832973, -0.0481178574, 1.1512128239
397.0, 250.0, 0.4725775123, 0.7701213963, -0.050061285, 1.168905003
396.0, 226.0, 0.4714150131, 0.769730662, -0.0499538742, 1.1899385452
397.0, 197.0, 0.4640125334, 0.7695479296, -0.0489277881, 1.2129614028
397.0, 176.0, 0.4616625309, 0.7700551061, -0.0488565679, 1.2322717906
399.0, 154.0, 0.4589800239, 0.7688065709, -0.0509534787, 1.2512814222
397.0, 128.0, 0.4557325244, 0.7699291636, -0.0493111608, 1.2702028641
376.0, 371.0, 0.4970350266, 0.7713448084, -0.0316540511, 1.0615713334
371.0, 338.0, 0.483017534, 0.7691863766, -0.0285894165, 1.0935400414
373.0, 317.0, 0.4841350317, 0.7700735191, -0.0309484097, 1.1103549102
370.0, 296.0, 0.4807400107, 0.7691165073, -0.0301921767, 1.1293153865
369.0, 268.0, 0.4726400077, 0.7688397786, -0.029296473, 1.1542247986
372.0, 249.0, 0.4718950093, 0.7696462883, -0.0301420979, 1.1716200164
372.0, 226.0, 0.4682700336, 0.7695139844, -0.029510959, 1.1905170904
371.0, 203.0, 0.4636750221, 0.7697961527, -0.0288575777, 1.2110661936
374.0, 175.0, 0.459490031, 0.7690568957, -0.029824722, 1.2335822755
371.0, 154.0, 0.4583200216, 0.7699649132, -0.029329465, 1.2505021699
373.0, 127.0, 0.45283252, 0.7700031345, -0.0287245008, 1.2706778235
349.0, 371.0, 0.4963775277, 0.7713631731, -0.0091360206, 1.0620749385
351.0, 337.0, 0.4833975136, 0.7693384886, -0.0101761495, 1.0960067486
346.0, 318.0, 0.4838325083, 0.7704352349, -0.0079166791, 1.108809222
349.0, 292.0, 0.4779850245, 0.7694423564, -0.0097641131, 1.1322470123
350.0, 272.0, 0.4735475183, 0.7695344096, -0.009677046, 1.151581887
350.0, 251.0, 0.471462518, 0.7698122093, -0.0097970155, 1.170110161
350.0, 225.0, 0.469415009, 0.7695466316, -0.0094206114, 1.1911225012
350.0, 201.0, 0.4640825093, 0.7701756541, -0.0103194749, 1.2103532727
347.0, 177.0, 0.4602150321, 0.7701492585, -0.0080582467, 1.230428185
352.0, 153.0, 0.4558600187, 0.7688644543, -0.0107086595, 1.2515967028
146.0, 238.0, 0.841135025, 0.7694313448, -0.0092492802, 1.2715023635
