u, v, d, x, y, z 
327.0, 371.0, 0.4959225357, 0.771103156, 0.0098647166, 1.062091123
328.0, 338.0, 0.4832550287, 0.7695579087, 0.0108013548, 1.0944179462
325.0, 321.0, 0.4834825099, 0.7702325241, 0.0110118882, 1.1087874536
329.0, 293.0, 0.4752075374, 0.7687680462, 0.0096136759, 1.1331714582
327.0, 274.0, 0.4737000167, 0.770307636, 0.0102616866, 1.1491735867
326.0, 252.0, 0.4712875187, 0.7697257115, 0.0097983748, 1.1695512373
323.0, 224.0, 0.4655075073, 0.7694154277, 0.0122149131, 1.1936386429
327.0, 202.0, 0.4625875354, 0.7693600328, 0.0093792945, 1.2119665128
325.0, 180.0, 0.4602925181, 0.770219423, 0.0096555361, 1.2290838677
321.0, 152.0, 0.4535000324, 0.7692833251, 0.0116685457, 1.2532314667
326.0, 126.0, 0.4501900077, 0.7683939959, 0.0096284917, 1.2731581872
304.0, 372.0, 0.4952650368, 0.7703667468, 0.0293618411, 1.062518255
301.0, 339.0, 0.4829900265, 0.7694091732, 0.0313698395, 1.0945674337
302.0, 320.0, 0.4832000136, 0.7701254323, 0.02990206, 1.1100133438
301.0, 292.0, 0.4742200077, 0.7683480728, 0.028341266, 1.1329493419
300.0, 274.0, 0.4735900164, 0.7700351673, 0.032290824, 1.150205355
301.0, 250.0, 0.4698400199, 0.7690395512, 0.0299757562, 1.1721087417
302.0, 227.0, 0.4667000175, 0.7697285693, 0.029404374, 1.1906677541
300.0, 205.0, 0.4630725086, 0.769331043, 0.0303928412, 1.2105512085
300.0, 177.0, 0.4601550102, 0.7698425316, 0.0298155833, 1.2326791983
300.0, 154.0, 0.456897527, 0.7699832142, 0.0296710243, 1.2492353172
297.0, 128.0, 0.4511575103, 0.7691634092, 0.0309598309, 1.2723421346
282.0, 372.0, 0.4937375188, 0.7703583039, 0.0493805423, 1.0621458625
276.0, 339.0, 0.4818000197, 0.7688052654, 0.0516658648, 1.0949103544
278.0, 319.0, 0.4822150171, 0.7700034881, 0.0499191667, 1.111687845
277.0, 299.0, 0.480515033, 0.7711185777, 0.0517785221, 1.128816537
277.0, 274.0, 0.4717875123, 0.7686119662, 0.0495493263, 1.1523507866
274.0, 251.0, 0.4706675112, 0.7702270297, 0.0513181234, 1.1700955192
277.0, 225.0, 0.4631950259, 0.768134938, 0.0479226089, 1.1922286615
273.0, 199.0, 0.4603175223, 0.7690293346, 0.050385017, 1.2130700875
275.0, 179.0, 0.4590475261, 0.7689207052, 0.0501690005, 1.2313134045
275.0, 153.0, 0.4550000131, 0.7694800618, 0.0499958621, 1.2512037483
273.0, 129.0, 0.4519725144, 0.7697505592, 0.0496738722, 1.2700641328
258.0, 371.0, 0.4918625355, 0.7703120917, 0.0691052758, 1.0630244543
258.0, 341.0, 0.4825400114, 0.7696866346, 0.0695430832, 1.0953401376
254.0, 320.0, 0.4797725081, 0.7694020623, 0.0710004755, 1.1105634943
253.0, 296.0, 0.4769950211, 0.7697793608, 0.0715457024, 1.1315964548
254.0, 277.0, 0.4724200368, 0.7690382584, 0.0695221271, 1.1531981953
254.0, 253.0, 0.4686700106, 0.7690103165, 0.0699674713, 1.1718432422
250.0, 226.0, 0.4652350247, 0.7692210358, 0.0705962639, 1.1921703409
251.0, 203.0, 0.4612850249, 0.7690754707, 0.0703417771, 1.2122662121
250.0, 179.0, 0.4586900175, 0.7693110107, 0.0696645827, 1.2313119991
246.0, 153.0, 0.4474000335, 0.769183683, 0.0710382708, 1.2520460329
247.0, 128.0, 0.4511225224, 0.7697128307, 0.0705572398, 1.2713681157
235.0, 372.0, 0.4927650094, 0.7706887339, 0.0895996195, 1.062538903
232.0, 338.0, 0.4811425209, 0.7682531025, 0.0903704852, 1.0961533886
235.0, 321.0, 0.4802975357, 0.7699855153, 0.0894788003, 1.1100653109
230.0, 299.0, 0.4771850109, 0.7696434279, 0.090415564, 1.1306617709
227.0, 274.0, 0.4727175236, 0.7696856695, 0.092622046, 1.1518782839
230.0, 254.0, 0.4698500335, 0.7698010042, 0.0889564135, 1.1678588543
227.0, 227.0, 0.4647400081, 0.769147193, 0.0904346251, 1.1920065489
228.0, 205.0, 0.4624200165, 0.770055974, 0.089718909, 1.2101023564
226.0, 176.0, 0.4566925168, 0.7688356969, 0.0909487993, 1.2328351732
224.0, 156.0, 0.4553800225, 0.7696438934, 0.0904849381, 1.2507338239
224.0, 129.0, 0.4494375288, 0.7687055447, 0.0905360846, 1.2729387985
212.0, 372.0, 0.4937250316, 0.7716356709, 0.1085439734, 1.0628124314
208.0, 340.0, 0.4800200164, 0.7686491723, 0.1108939502, 1.0958894977
208.0, 321.0, 0.4803375304, 0.7694788401, 0.109131931, 1.109605642
205.0, 300.0, 0.4750450253, 0.769838987, 0.1111670495, 1.1312492933
206.0, 277.0, 0.4718850255, 0.7696894814, 0.1096407042, 1.1497810689
201.0, 251.0, 0.4685725272, 0.7693003575, 0.1118447748, 1.1726488584
204.0, 227.0, 0.4660475254, 0.7700620181, 0.1109216787, 1.1901940104
202.0, 206.0, 0.4602900147, 0.7687041311, 0.1088679869, 1.2107269684
201.0, 180.0, 0.4573475122, 0.7693851958, 0.1106843902, 1.2317050275
199.0, 153.0, 0.4524850249, 0.7689766532, 0.1102929209, 1.2525266635
198.0, 130.0, 0.451120019, 0.7695081521, 0.1113781742, 1.2718325665
190.0, 375.0, 0.4934650362, 0.771224381, 0.1295141625, 1.0624378951
184.0, 341.0, 0.4800850153, 0.7687644682, 0.1309217911, 1.094983528
183.0, 322.0, 0.4799425304, 0.7693609676, 0.1292970874, 1.1110445325
181.0, 301.0, 0.475132525, 0.7695927221, 0.1312992075, 1.1302964754
180.0, 274.0, 0.4705250263, 0.7690741858, 0.1292843528, 1.1524556381
181.0, 252.0, 0.4687350094, 0.769427372, 0.1302938533, 1.1712216411
179.0, 229.0, 0.4644625187, 0.7693778558, 0.1296720922, 1.1905802196
177.0, 207.0, 0.4609850347, 0.7693729068, 0.1297881375, 1.2109133776
176.0, 182.0, 0.4581625164, 0.7692334181, 0.129255526, 1.2296418092
173.0, 156.0, 0.4547950327, 0.7697054032, 0.1312234974, 1.2516079499
172.0, 129.0, 0.4488050342, 0.7689914487, 0.1301819657, 1.2724145239
