u, v, d, x, y, z 
432.0, 381.0, 0.4462175071, 0.7209380628, -0.0700479535, 1.0738941998
434.0, 345.0, 0.4330875278, 0.7194472912, -0.0686366145, 1.1045076555
434.0, 324.0, 0.4320500195, 0.7192248014, -0.0695984752, 1.119941533
430.0, 297.0, 0.4298875332, 0.719363046, -0.0702629378, 1.1409398884
434.0, 273.0, 0.4267800152, 0.7203077138, -0.0690364202, 1.1595356717
435.0, 245.0, 0.4209925234, 0.7194457308, -0.0686230271, 1.1832100875
436.0, 219.0, 0.4159150124, 0.718695307, -0.069928746, 1.2039520498
435.0, 198.0, 0.4151850343, 0.719956931, -0.0688301067, 1.2210333174
437.0, 171.0, 0.4108175337, 0.7191416781, -0.0708706693, 1.2408288745
439.0, 141.0, 0.4057700336, 0.7195754733, -0.0696106127, 1.2612213916
406.0, 382.0, 0.4462175071, 0.7220095757, -0.050414017, 1.0737380665
408.0, 345.0, 0.4314550161, 0.7180511412, -0.0499927194, 1.1053884689
410.0, 328.0, 0.4331375062, 0.7196282118, -0.051080095, 1.1193715564
403.0, 298.0, 0.4280950129, 0.7199521279, -0.0476710288, 1.1423330521
409.0, 273.0, 0.4228825271, 0.7188406822, -0.0516789023, 1.1617336395
406.0, 248.0, 0.4216150343, 0.7202588807, -0.0491371911, 1.1804039166
407.0, 219.0, 0.4144800305, 0.718998822, -0.0487281699, 1.2029769593
408.0, 197.0, 0.4135125279, 0.7200279791, -0.0497730445, 1.2199436483
410.0, 166.0, 0.40674752, 0.7186874379, -0.0494701591, 1.2433454944
409.0, 140.0, 0.4058425128, 0.7203716128, -0.0483633774, 1.2614623955
382.0, 382.0, 0.4437100291, 0.7212504409, -0.0301783846, 1.0732817956
384.0, 347.0, 0.4314025342, 0.7182946206, -0.0306055331, 1.1037165032
378.0, 327.0, 0.4326025248, 0.7199203721, -0.0289539439, 1.1196298289
383.0, 298.0, 0.4251075089, 0.7187788838, -0.0306064901, 1.1416739639
383.0, 277.0, 0.4221525192, 0.7188506977, -0.0304186509, 1.1608261606
